"Smarter Balanced Assessments, Trend",,,,,,,,,,,,,,,,,,,,,
"State of Connecticut, ELA and Math, All Grades, English Learner Status (EL)",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,Year,,,,,,,,,,,,,,,,,
,,,,2015-16,,,2016-17,,,2017-18,,,2018-19,,,2021-22,,,2022-23,,
District,Grade,Subject,English Learner Status (EL),Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%,Average VSS,Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%,Average VSS,Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%,Average VSS,Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%,Average VSS,Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%,Average VSS,Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%,Average VSS
State of Connecticut,03,ELA,N,35348,57.8,2446,34051,55.9,2441,33364,57.5,2445,32199,58.6,2446,30593,51.5,2431,30915,50.2,2429
State of Connecticut,03,ELA,Y,3590,16.3,2361,4042,17.6,2360,4159,17.9,2360,4313,22.2,2368,4722,15.3,2347,4905,15.6,2345
State of Connecticut,03,Math,N,35282,56.2,2444,33984,56.6,2446,33312,57.5,2448,32149,58.7,2450,30506,51.7,2435,30843,54,2441
State of Connecticut,03,Math,Y,3585,19.6,2377,4029,24.1,2385,4158,23.7,2379,4305,27.6,2388,4714,19.9,2367,4899,23.1,2374
State of Connecticut,04,ELA,N,35452,59,2488,35831,57.8,2486,34586,59,2488,33709,58.9,2489,31343,54,2475,31047,53.9,2477
State of Connecticut,04,ELA,Y,2996,14.1,2383,3396,14.5,2385,3786,18.1,2391,4015,17.9,2391,4597,16.9,2383,4872,16.5,2380
State of Connecticut,04,Math,N,35399,51,2484,35770,53.4,2489,34529,54.9,2491,33667,56.3,2494,31272,49.4,2478,30997,52.8,2485
State of Connecticut,04,Math,Y,2985,12.2,2405,3390,14.8,2411,3775,18.6,2418,4005,20.5,2419,4588,17.5,2405,4862,19.3,2412
State of Connecticut,05,ELA,N,36283,62.2,2525,35941,60,2521,36402,62.3,2527,35200,62.4,2526,32369,56.7,2514,31942,56.6,2515
State of Connecticut,05,ELA,Y,2724,12.6,2411,2806,9.2,2399,3187,12.8,2410,3399,14.1,2414,3931,12.2,2400,4443,13.3,2400
State of Connecticut,05,Math,N,36222,43.4,2508,35859,45.7,2512,36349,48.1,2517,35124,49.8,2520,32284,42.4,2502,31873,46.1,2510
State of Connecticut,05,Math,Y,2716,6.3,2415,2796,7.1,2417,3184,9.3,2425,3385,12.7,2434,3916,8.6,2415,4427,11,2424
State of Connecticut,06,ELA,N,36928,57.9,2543,36837,57.1,2543,36510,57.6,2543,36867,58.8,2547,33356,52.2,2532,32764,52.6,2532
State of Connecticut,06,ELA,Y,2138,5.9,2410,2341,5.1,2406,2504,5.6,2406,2719,6.7,2414,3269,4.8,2406,3739,7.3,2413
State of Connecticut,06,Math,N,36832,42.7,2528,36704,46,2534,36446,46.6,2535,36780,48.3,2539,33177,40.4,2517,32639,43.4,2524
State of Connecticut,06,Math,Y,2130,3.9,2401,2326,5.2,2405,2496,5.1,2407,2707,5.8,2409,3248,3.7,2391,3717,6.4,2406
State of Connecticut,07,ELA,N,37976,58,2566,37085,57.8,2564,36963,58.2,2565,36727,59.4,2568,34653,53.7,2553,33564,53.3,2552
State of Connecticut,07,ELA,Y,2099,5,2430,2126,5.1,2420,2422,5.5,2421,2434,6.1,2424,3137,5,2408,3345,4.5,2410
State of Connecticut,07,Math,N,37871,43.9,2545,36924,44.8,2548,36845,46.7,2551,36581,48.8,2555,34408,41,2535,33366,43.4,2540
State of Connecticut,07,Math,Y,2083,4.7,2415,2108,4.9,2416,2416,5.4,2416,2418,5.4,2419,3116,3,2404,3320,4.5,2410
State of Connecticut,08,ELA,N,37533,58,2580,38267,*,2576,37301,*,2583,37128,*,2583,35754,*,2568,34936,*,2568
State of Connecticut,08,ELA,Y,1817,3.7,2436,1872,3.5,2428,2113,4.5,2436,2242,3.1,2432,2767,3.5,2421,3132,3.4,2417
State of Connecticut,08,Math,N,37374,42.1,2558,38093,43.6,2561,37193,45.1,2566,36996,45.9,2567,35492,36.7,2542,34658,39.2,2548
State of Connecticut,08,Math,Y,1805,3,2419,1861,4.5,2418,2103,4.1,2425,2217,3.4,2418,2745,2.4,2403,3098,2.9,2409
